generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_16:00,Jiangsu,0,75.8767,802.125
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_20:00,Jiangsu,0,50.1328,601.594
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_00:00,Jiangsu,0,289.542,636.992
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_04:00,Jiangsu,176.073,289.542,0
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_08:00,Jiangsu,723.855,289.542,984.442
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_12:00,Jiangsu,723.855,289.542,1968.88
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_16:00,Jiangsu,723.855,289.542,2953.33
Jiangsu-Hydro_Pumped-ep-35037,2040-06-26_20:00,Jiangsu,0,289.542,1795.16
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_00:00,Jiangsu,0,67.6793,541.434
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_04:00,Jiangsu,0,67.6793,270.717
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_08:00,Jiangsu,0,67.6793,0
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_12:00,Jiangsu,1097.5,439.001,1492.6
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_16:00,Jiangsu,0,102.434,1082.87
Jiangsu-Hydro_Pumped-ep-35037,2040-12-19_20:00,Jiangsu,0,67.6793,812.151
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_00:00,Jiangsu,0,289.542,2910.76
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_04:00,Jiangsu,0,727.689,0
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_08:00,Jiangsu,1281.15,512.46,1742.36
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_12:00,Jiangsu,1281.15,512.46,3484.73
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_16:00,Jiangsu,1281.15,512.46,5227.09
Jiangsu-Hydro_Pumped-ep-35037,2050-06-12_20:00,Jiangsu,0,289.542,4068.92
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_00:00,Jiangsu,0,67.6793,541.434
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_04:00,Jiangsu,0,67.6793,270.717
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_08:00,Jiangsu,0,67.6793,0
Jiangsu-Hydro_Pumped-ep-35037,2050-12-12_12:00,Jiangsu,1097.5,439.001,1492.6
